Rank,window,entry_threshold,exit_threshold,CAGR,Volatility,Sharpe_Ratio,Sortino_Ratio,Calmar_Ratio,Max_Drawdown,Total_Trades,Total_Cost_Cash,Total_Turnover
1,30,-2.0,-0.5,0.048166264287188065,0.07793023963955553,0.6426054573551921,0.9597750205556257,0.4710688411041778,10.224888611670242,24,4044.442364424379,48.0
2,20,-2.0,-0.5,0.03762679594936391,0.06126824090326111,0.6335380910529065,0.9275198509711797,0.35232759593704566,10.679491582057942,28,4543.21425822842,56.0
3,30,-1.5,-1.0,0.044783618823335036,0.07559686030123174,0.6172896786323621,0.9308521025414692,0.46146081361982916,9.704750111291068,44,6902.994233540387,88.0
4,30,-2.0,-1.0,0.03807541717885243,0.06471670386183463,0.609747931561983,0.9209735808113627,0.4076668081750299,9.339837439624205,26,4231.261389640402,52.0
5,50,-1.5,-1.0,0.04166263830611161,0.07309169627196688,0.5949396185503978,0.9125898040662859,0.44353978418232654,9.393213369329974,25,4229.58379311746,50.0
6,20,-2.5,-0.25,0.02558947169499115,0.04486842742421516,0.5854724028667725,0.9953748085287217,0.46206814291393544,5.5380298528300465,9,1368.1598404141455,18.0
7,30,-1.5,-0.5,0.04302649939026337,0.0848285726123387,0.539027538986846,0.7878813932605674,0.35980228175693235,11.95837313208878,36,5693.819626403563,72.0
8,20,-1.5,-0.5,0.042094136543626925,0.08308691396792343,0.5377826832515726,0.796077018564201,0.3520055452248162,11.958373132088747,49,7601.174467053008,98.0
9,50,-1.5,-0.25,0.04006099855758616,0.08386229090909458,0.5103050873738746,0.7468933657932101,0.42736808794663866,9.373886279171174,17,2885.2024557354703,34.0
10,20,-2.5,-0.5,0.018398602100633044,0.0391969692518568,0.4846736224007409,0.7804404949687253,0.33222287689964386,5.538029852830031,9,1337.990612757902,18.0
11,10,-1.5,-0.25,0.03662544842320492,0.08285260770646706,0.47550216487407515,0.7222080365674487,0.2553420344957507,14.343681601633993,71,10623.081025847805,142.0
12,30,-2.5,-0.25,0.02442031383671961,0.05431306116340738,0.4712997788408987,0.7345526184198036,0.2605142958794125,9.373886279171161,10,1596.4781604939521,20.0
13,30,-2.0,-0.25,0.036474974967756646,0.08461050416408682,0.4657334181316002,0.6750110547618673,0.3374277217714644,10.809714974296242,22,3585.7500140496163,44.0
14,50,-1.5,-0.5,0.03446041172967673,0.08050614170229119,0.46105660397589704,0.6819235918175051,0.32623064277397096,10.563205049242613,19,3121.491796271948,38.0
15,10,-1.5,-0.5,0.03370127952200086,0.0826032611122146,0.442595717529462,0.6500162687893621,0.26647755176285465,12.64694879514373,74,10988.14925633859,148.0
16,30,-2.5,-1.0,0.01681835709740298,0.039449086664078245,0.442513538472807,0.6574288574710155,0.1939040881032679,8.673544359954905,10,1502.8644213913644,20.0
17,30,-2.5,-0.5,0.02151802838369865,0.05342125753324564,0.42515863075336696,0.6597344863565602,0.229552906263775,9.373886279171165,10,1569.5090657304627,20.0
18,50,-2.5,-0.25,0.025660451481039237,0.06632419240675132,0.4150790793373826,0.634730135477716,0.32731967059961714,7.8395690164394445,6,934.5518786887977,12.0
19,20,-1.5,-0.25,0.03186662083667802,0.0905653595617275,0.39163859674129,0.5675201879312813,0.24707141814323227,12.897736644796485,43,6431.083757750922,86.0
20,50,-2.5,-1.0,0.018531962903508115,0.05107882079979969,0.38498151727844737,0.5899054729327061,0.3346309679793047,5.538029852830067,7,1067.5116831405646,14.0
21,20,-2.0,-0.25,0.025784445694843283,0.0734821130462336,0.38322738755321334,0.5436077464980409,0.19913661477737343,12.948118920103788,25,4022.2367519613717,50.0
22,20,-2.5,-1.0,0.012915871459056483,0.03569488580789904,0.3773317677050166,0.594661026096473,0.21923640448660928,5.8912987052957115,9,1301.2556696925226,18.0
23,50,-2.0,-1.0,0.021116522086435108,0.0623136090257418,0.3664979221370158,0.5359110592687364,0.2147500362537144,9.833070324368745,14,2213.1139924623876,28.0
24,30,-1.5,-0.25,0.028248133000883247,0.0906658841810854,0.352578432996266,0.5062938914096442,0.23622053509170896,11.958373132088768,31,4689.400257786738,62.0
25,20,-2.0,-1.0,0.018352716349506304,0.05686792427359792,0.3484095124424294,0.4697292191009854,0.18394891387189702,9.977072418208042,29,4352.648597654651,58.0
26,20,-1.5,-1.0,0.023695111143632097,0.07715287312888336,0.342156583333396,0.4917277419629439,0.1495270280707897,15.846707748658162,57,8381.736030609662,114.0
