Rank,Start Date,Peak Date,Trough Date,Recovery Date,Depth (%),Duration (TD),Recovered
65,2021-02-12,2021-02-11,2021-02-12,2021-02-15,0.06590524229219573,1,True
66,2021-02-09,2021-02-08,2021-02-10,2021-02-11,0.06152373547985802,2,True
67,2017-07-27,2017-07-26,2017-07-28,2017-07-31,0.061377160017002136,2,True
68,2017-07-14,2017-07-13,2017-07-14,2017-07-17,0.054091671116729294,1,True
69,2021-06-01,2021-05-31,2021-06-01,2021-06-03,0.05101904286871793,2,True
70,2018-01-10,2018-01-09,2018-01-10,2018-01-11,0.04512366915015419,1,True
71,2017-07-25,2017-07-24,2017-07-25,2017-07-26,0.01856824796283516,1,True
72,2014-11-07,2014-11-05,2014-11-07,2014-11-10,0.015588365949251391,1,True
73,2024-07-08,2024-07-05,2024-07-08,2024-07-09,0.013562113637339005,1,True
74,2020-12-31,2020-12-30,2020-12-31,2021-01-01,0.0014318125132971346,1,True
