Metric,Value,Grade
Sharpe Ratio,0.2633,Poor
Sortino Ratio,0.3500,Poor
Calmar Ratio,0.0600,Poor
Win Rate,79.59%,Excellent
Profit Factor,1.7431,Good
Max Drawdown,34.78%,Average
