Rank,window,entry_threshold,exit_threshold,CAGR,Volatility,Sharpe_Ratio,Sortino_Ratio,Calmar_Ratio,Max_Drawdown,Total_Trades,Total_Cost_Cash,Total_Turnover
1,32,-2.0,-0.6,0.06128974359168127,0.07415867856631267,0.8391762651568261,1.313761915769016,0.5994172251590894,10.224888611670204,24,4307.102110066469,48.0
2,30,-2.0,-0.6,0.05972115542521372,0.07395552098407654,0.8212866474652956,1.2758618830959194,0.5840763424752693,10.224888611670213,26,4616.258929167889,52.0
3,32,-2.2,-0.4,0.052124083946027744,0.07530493330797472,0.7123443324291336,1.1055669973017148,0.5056367819528728,10.308602104600434,18,3163.7256641493104,36.0
4,30,-2.2,-0.6,0.046260300019765666,0.06738024401172327,0.7047464113007139,1.1194893522003702,0.4524284007061585,10.22488861167021,20,3338.347930618221,40.0
5,32,-2.0,-0.4,0.05384887811264116,0.08048553395460119,0.6919070198252194,1.0385111945463543,0.5223683828926725,10.30860210460041,22,3796.0494869539257,44.0
6,30,-1.8,-0.6,0.05127861196241956,0.07726784434221497,0.6857876237291378,1.0430563803472996,0.4629733076261526,11.075932698009158,30,5020.471684967398,60.0
7,32,-2.2,-0.5,0.047116295152765275,0.07165999863675927,0.6782351051301124,1.060667420369073,0.4608000824477352,10.22488861167018,18,3083.8385076295817,36.0
8,28,-2.0,-0.6,0.046455596102342955,0.07169795617429826,0.6691361345729339,1.0263254750697017,0.4421362856013488,10.507076124539015,25,4175.473320515736,50.0
9,32,-2.2,-0.6,0.04551195916552375,0.07121865243266592,0.660464883868771,1.0297990695105306,0.44510958401618905,10.224888611670163,18,3070.2179188530818,36.0
10,32,-2.0,-0.5,0.04860038428079605,0.07708291037711423,0.6541758139505423,0.9849965929521212,0.4753145596649899,10.224888611670229,22,3698.6597771843694,44.0
11,32,-1.8,-0.6,0.04901811357649022,0.07788705629030067,0.6533151652841546,0.9881542358669091,0.4425642057693353,11.075932698009131,27,4534.078446690028,54.0
12,30,-2.0,-0.5,0.048166264287188065,0.07793023963955553,0.6426054573551921,0.9597750205556257,0.4710688411041778,10.224888611670242,24,4044.442364424379,48.0
13,28,-1.8,-0.6,0.04487744030176999,0.07605069350204083,0.6152331034172084,0.9244016123158247,0.38989011333990725,11.510279118733568,30,4939.922091491552,60.0
14,30,-2.0,-0.4,0.04639940072488313,0.07904129285281809,0.6133299441503016,0.9112602313208009,0.4537888136201808,10.224888611670192,23,3838.059731691392,46.0
15,30,-2.2,-0.4,0.044145821289001574,0.07524687499069994,0.6116970155646624,0.9193300027911834,0.4317486768375697,10.224888611670233,19,3143.108987252024,38.0
16,32,-1.8,-0.4,0.04663933485799876,0.0835686545971766,0.5872681695397057,0.863181100493943,0.4179581583397244,11.158852609377568,25,4141.13077170246,50.0
17,30,-2.2,-0.5,0.040558989023429026,0.07476711136936272,0.569109802805965,0.8541877730067511,0.39666925052989666,10.224888611670222,19,3090.9556314614792,38.0
18,28,-2.0,-0.4,0.04123703316232108,0.0794620900083586,0.5482382599342345,0.8162695436015133,0.4033005612917378,10.224888611670247,23,3720.144714391239,46.0
19,32,-1.8,-0.5,0.0414267467846432,0.08029506602003032,0.5456684039005045,0.8028925848618608,0.37402490529840055,11.075932698009122,25,4032.0684509865705,50.0
20,30,-1.8,-0.5,0.040631573978678226,0.0812089009882055,0.5310281169049716,0.7810002100283147,0.36684562001700705,11.075932698009188,27,4324.148521711157,54.0
21,28,-2.0,-0.5,0.038143032892415274,0.0767887536316467,0.5258526958305324,0.7805585835236115,0.3730410603092593,10.224888611670215,23,3692.5390722088932,46.0
22,30,-1.8,-0.4,0.03975726678786207,0.08208316369516537,0.5160033120770187,0.7554504439593197,0.35895186321426703,11.075932698009145,26,4141.523814127721,52.0
23,28,-1.8,-0.5,0.036577413237567136,0.0808674975340732,0.4846543448336117,0.7093242911997615,0.31778041922576494,11.510279118733543,28,4435.262808767463,56.0
24,28,-1.8,-0.4,0.036065959899275635,0.08259180588433844,0.47026412008851176,0.6874822107130568,0.31333697060896143,11.510279118733571,27,4237.231562223853,54.0
25,28,-2.2,-0.6,0.02371576411259535,0.06061005230104479,0.4169959962027273,0.6152941557496602,0.20898099887902205,11.348287279612572,18,2840.9811959835406,36.0
26,28,-2.2,-0.4,0.0245159079958428,0.07033422430262018,0.3795417320115036,0.54616359986155,0.23839294759368213,10.283822673155504,17,2680.3962493590916,34.0
27,28,-2.2,-0.5,0.020642288533039066,0.06881299451914005,0.3313469541038216,0.47344162541347684,0.19502736941066753,10.584303421317633,17,2648.202364538618,34.0
